Nutrient,Tide,Time,mean_concentration,var_concentration,sd_concentration,sample_size,sd_error
NN,High,Day,0.19642857142857142,0.009599128919860629,0.09797514439826373,42,0.015117892993671776
NN,High,Night,0.27121951219512197,0.07331097560975607,0.2707599963247083,41,0.04228560719497485
NN,Low,Day,1.1216666666666668,4.412750813008129,2.1006548533750444,42,0.3241380809898963
NN,Low,Night,1.25975,5.855510192307692,2.419816148451715,40,0.3826065273981774
Phosphate,High,Day,0.11023809523809523,4.65795586527294e-4,0.021582297989956815,42,0.003330220879730459
Phosphate,High,Night,0.10780487804878049,6.475609756097561e-4,0.025447219408213467,41,0.003974187984585445
Phosphate,Low,Day,0.1604761904761905,0.015985133565621375,0.12643232800839102,42,0.019508931755200753
Phosphate,Low,Night,0.1615,0.016366923076923074,0.1279332758781822,40,0.020228027015086688
Silicate,High,Day,3.0064285714285712,1.5945991289198607,1.262774377677921,42,0.19485031672199907
Silicate,High,Night,4.615853658536585,20.860999878048787,4.567384358475733,41,0.713305597254333
Silicate,Low,Day,26.3,1791.1688097560977,42.32220232639244,42,6.530457596735793
Silicate,Low,Night,26.76575,2185.8660968589743,46.75324691247629,40,7.392337412583001
